"","X","Seat_code","IN_PROP","quickstats_code.x","CED_NAME_2021","STATE_NAME_2021.x","SeatID","Enrolment","Yes","No","Informal","Complete","Votes_returned","Votes_returned_pc","Informal_pc_tot","Yes_pc_tot","No_pc_tot","Informal_pc_so_far","Yes_pc_so_far","No_pc_so_far","Yes_lead_pts_so_far","indig","age","t_ed","income","quickstats_code.y","STATE_NAME_2021.y","State_acronym","dem_rating","FullName","Party","DivisionID","Australian.Labor.Party.Percentage","Coalition.point.lead","ALP.margin","Swing"
"135",134,509,64.9,509,"Hasluck","Western Australia",305,123799,30310,58776,673,"False",89759,72.5,0.00543623131043062,0.244832349211221,0.474769586184056,0.00749785536826391,0.337682015173966,0.65482012945777,-0.162317984826034,3.3,37,19.4,867,509,"Western Australia","WA","Outer Metropolitan","Ms Tania Lawrence MP","Australian Labor Party",305,0.56,-0.06,0.06,-0.222317984826034
"136",135,510,60.3,510,"Moore","Western Australia",242,121039,34074,56224,781,"False",91079,75.25,0.00645246573418485,0.281512570328572,0.464511438461983,0.00857497337476257,0.374114779477157,0.61731024714808,-0.125885220522843,0.8,42,28.3,923,510,"Western Australia","WA","Outer Metropolitan","Mr Ian Goodenough MP","Liberal Party of Australia",242,0.4934,0.00659999999999997,-0.00659999999999997,-0.119285220522843
"137",136,511,72.4,511,"O'Connor","Western Australia",243,121397,21858,70032,714,"False",92604,76.28,0.00588152919759137,0.180053872830465,0.576884107515013,0.00771025009718803,0.236037320202151,0.756252429700661,-0.263962679797849,5.7,42,12.6,772,511,"Western Australia","WA","Rural","Mr Rick Wilson MP","Liberal Party of Australia",243,0.4303,0.0697,-0.0697,-0.194262679797849
"138",137,512,55.2,512,"Pearce","Western Australia",244,120252,27583,62065,814,"False",90462,75.23,0.00676911818514453,0.229376642384326,0.516124471942255,0.00899825341027172,0.304912559969932,0.686089186619796,-0.195087440030068,1.7,35,18,858,512,"Western Australia","WA","Outer Metropolitan","Ms Tracey Roberts MP","Australian Labor Party",244,0.5904,-0.0904,0.0904,-0.285487440030068
"139",138,513,57,513,"Perth","Western Australia",245,123849,51107,40362,875,"False",92344,74.56,0.00706505502668572,0.41265573399866,0.325896858270959,0.00947543966040024,0.553441479684657,0.437083080654942,0.0534414796846574,1.2,37,38.4,1017,513,"Western Australia","WA","Inner Metropolitan","Hon Patrick Gorman MP","Australian Labor Party",245,0.648,-0.148,0.148,-0.0945585203153426
"140",139,514,55.4,514,"Swan","Western Australia",247,122766,36498,47146,649,"False",84293,68.66,0.00528647997002427,0.297297297297297,0.384031409347865,0.00769933446430902,0.43298969072165,0.559310974814041,-0.0670103092783505,2.2,36,31.4,897,514,"Western Australia","WA","Inner Metropolitan","Ms Zaneta Mascarenhas MP","Australian Labor Party",247,0.5877,-0.0877,0.0877,-0.154710309278351
"141",140,515,55,515,"Tangney","Western Australia",248,123375,37667,54239,754,"False",92660,75.1,0.00611144883485309,0.305304964539007,0.439627152988855,0.00813727606302612,0.406507662421757,0.585355061515217,-0.093492337578243,1.1,40,36.4,844,515,"Western Australia","WA","Inner Metropolitan","Mr Sam Lim MP","Australian Labor Party",248,0.5238,-0.0238,0.0238,-0.117292337578243
"142",141,601,79.3,601,"Bass","Tasmania",192,80020,24937,40312,710,"False",65959,82.43,0.00887278180454886,0.311634591352162,0.503774056485879,0.0107642626480086,0.378068193878015,0.611167543473976,-0.121931806121985,4,41,20.1,675,601,"Tasmania","Tas","Provincial","Mrs Bridget Archer MP","Liberal Party of Australia",192,0.4857,0.0143,-0.0143,-0.107631806121985
"143",142,602,83.2,602,"Braddon","Tasmania",193,83583,18984,50291,827,"False",70102,83.87,0.00989435650790232,0.227127525932307,0.601689338741132,0.0117970956606088,0.270805397848849,0.717397506490542,-0.229194602151151,8.5,45,12.8,637,602,"Tasmania","Tas","Rural","Mr Gavin Pearce MP","Liberal Party of Australia",193,0.4197,0.0803,-0.0803,-0.148894602151151
"144",143,603,70.5,603,"Clark","Tasmania",319,74368,34355,25159,616,"False",60130,80.85,0.00828313253012048,0.461959444922547,0.33830410929432,0.010244470314319,0.571345418260436,0.418410111425245,0.0713454182604357,3.3,37,36.7,780,603,"Tasmania","Tas","Inner Metropolitan","Mr Andrew Wilkie MP","Independent",319,0.6724,-0.1724,0.1724,-0.101054581739564
"145",144,604,79.2,604,"Franklin","Tasmania",195,81868,33814,33593,731,"False",68138,83.23,0.00892900767088484,0.413030732398495,0.410331264963111,0.0107282280078664,0.496257594880977,0.493014177111157,-0.00374240511902318,5.3,41,26.8,775,604,"Tasmania","Tas","Outer Metropolitan","Hon Julie Collins MP","Australian Labor Party",195,0.637,-0.137,0.137,-0.140742405119023
"146",145,605,83.3,605,"Lyons","Tasmania",196,87179,22315,47495,889,"False",70699,81.1,0.0101974099267025,0.255967606877803,0.544798632698242,0.01257443528197,0.315633884496245,0.671791680221785,-0.184366115503755,5.9,44,12.9,652,605,"Tasmania","Tas","Rural","Mr Brian Mitchell MP","Australian Labor Party",196,0.5092,-0.00920000000000002,0.00920000000000002,-0.193566115503755
"147",146,701,77,701,"Lingiari","Northern Territory",306,80061,19758,25005,363,"False",45126,56.36,0.00453404279237082,0.246786825045902,0.312324352681081,0.00804414306608164,0.437840712671187,0.554115144262731,-0.0621592873288127,40.3,32,14.4,726,701,"Northern Territory","NT","Rural","Ms Marion Scrymgour MP","Australian Labor Party",306,0.5095,-0.00950000000000003,0.00950000000000003,-0.0716592873288127
"148",147,702,61.1,702,"Solomon","Northern Territory",307,72938,17955,33029,419,"False",51403,70.47,0.00574460500699224,0.246167978282925,0.452836655789849,0.00815127521739976,0.349298679065424,0.642550045717176,-0.150701320934576,10.1,34,29,1110,702,"Northern Territory","NT","Inner Metropolitan","Mr Luke Gosling OAM, MP","Australian Labor Party",307,0.5937,-0.0936999999999999,0.0936999999999999,-0.244401320934576
